service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7714:280-23-31,1,1,1,1,1,0,0,20240701,20250830
7714:280-23-32,0,0,0,0,0,1,0,20240701,20250830
7714:280-23-63,1,1,1,1,1,1,0,20240701,20250830
7714:DJF-23-127,1,1,1,1,1,1,1,20240707,20250831
7714:DJF-AP-23-127,1,1,1,1,1,1,1,20241117,20250831
7714:DJF-AV-23-127,1,1,1,1,1,1,1,20240707,20241111
7714:F-1-23-32,0,0,0,0,0,1,0,20241104,20250329
7714:F-1D-23-127,1,1,1,1,1,1,1,20241110,20250330
7714:F-2-23-32,0,0,0,0,0,1,0,20240902,20250830
7714:F-2D-23-127,1,1,1,1,1,1,1,20240707,20250831
7714:F-3-23-31,1,1,1,1,1,0,0,20241021,20250531
7714:F-4-23-31,1,1,1,1,1,0,0,20250707,20250830
7714:N-EUR-23-127,1,1,1,1,1,1,1,20241109,20250112
7714:N-FCK-23-127,1,1,1,1,1,1,1,20240329,20241103
7714:N-HKG1-23-127,1,1,1,1,1,1,1,20240302,20241103
7714:N-HKG1-23-127|7714:N-HKG2-23-127,1,1,1,1,1,1,1,20240302,20250105
7714:SC-AP-23-16|7714:VA-AP-23-16,0,0,0,0,1,0,0,20241113,20250830
7714:SC-AP-23-31,1,1,1,1,1,0,0,20241113,20250704
7714:SC-AP-23-31|7714:VA-AP-23-31,1,1,1,1,1,0,0,20241113,20250830
7714:SC-AP-23-32|7714:VA-AP-23-32,0,0,0,0,0,1,0,20241113,20250830
7714:SC-AV-23-16|7714:VA-AV-23-16,0,0,0,0,1,0,0,20240708,20241112
7714:SC-AV-23-27,1,1,0,1,1,0,0,20240902,20241112
7714:SC-AV-23-31,1,1,1,1,1,0,0,20240902,20241112
7714:SC-AV-23-31|7714:VA-AV-23-31,1,1,1,1,1,0,0,20240708,20241112
7714:SC-AV-23-32|7714:VA-AV-23-32,0,0,0,0,0,1,0,20240708,20241112
7714:SC-AV-23-4,0,0,1,0,0,0,0,20240902,20241112
7714:SC-AV-23-63|7714:VA-AV-23-63,1,1,1,1,1,1,0,20240708,20241112
7714:SCOL-23-1,1,0,0,0,0,0,0,20240902,20250704
7714:SCOL-23-11,1,1,0,1,0,0,0,20240902,20250704
7714:SCOL-23-15,1,1,1,1,0,0,0,20240902,20250704
7714:SCOL-23-16,0,0,0,0,1,0,0,20240902,20250704
7714:SCOL-23-27,1,1,0,1,1,0,0,20240902,20250704
7714:SCOL-23-27|7714:VACS-23-27,1,1,0,1,1,0,0,20240708,20250830
7714:SCOL-23-31,1,1,1,1,1,0,0,20240902,20250704
7714:SCOL-23-31|7714:VACS-23-31,1,1,1,1,1,0,0,20240708,20250830
7714:SCOL-23-32,0,0,0,0,0,1,0,20240902,20250704
7714:SCOL-23-32|7714:VACS-23-32,0,0,0,0,0,1,0,20240708,20250830
7714:SCOL-23-4,0,0,1,0,0,0,0,20240902,20250704
7714:SCOL-23-63,1,1,1,1,1,1,0,20240902,20250704
7714:SCOL-23-63|7714:VACS-23-63,1,1,1,1,1,1,0,20240708,20250830
7714:VA-AP-23-31,1,1,1,1,1,0,0,20241223,20250830
7714:VA-AV-23-31,1,1,1,1,1,0,0,20240708,20241102
7714:VACS-23-1,1,0,0,0,0,0,0,20240708,20250830
7714:VACS-23-23,1,1,1,0,1,0,0,20240708,20250830
7714:VACS-23-31,1,1,1,1,1,0,0,20240708,20250830
7714:VACS-23-32,0,0,0,0,0,1,0,20240708,20250830
