service_id,date,exception_type
7714:280-23-31,20241101,2
7714:280-23-31,20241225,2
7714:280-23-31,20241226,2
7714:280-23-31,20250101,2
7714:280-23-31,20250418,2
7714:280-23-31,20250421,2
7714:280-23-31,20250501,2
7714:280-23-31,20250529,2
7714:280-23-31,20250609,2
7714:280-23-63,20241101,2
7714:280-23-63,20241225,2
7714:280-23-63,20241226,2
7714:280-23-63,20250101,2
7714:280-23-63,20250418,2
7714:280-23-63,20250421,2
7714:280-23-63,20250501,2
7714:280-23-63,20250529,2
7714:280-23-63,20250609,2
7714:DJF-23-127,20240708,2
7714:DJF-23-127,20240709,2
7714:DJF-23-127,20240710,2
7714:DJF-23-127,20240711,2
7714:DJF-23-127,20240712,2
7714:DJF-23-127,20240713,2
7714:DJF-23-127,20240715,2
7714:DJF-23-127,20240716,2
7714:DJF-23-127,20240717,2
7714:DJF-23-127,20240718,2
7714:DJF-23-127,20240719,2
7714:DJF-23-127,20240720,2
7714:DJF-23-127,20240722,2
7714:DJF-23-127,20240723,2
7714:DJF-23-127,20240724,2
7714:DJF-23-127,20240725,2
7714:DJF-23-127,20240726,2
7714:DJF-23-127,20240727,2
7714:DJF-23-127,20240729,2
7714:DJF-23-127,20240730,2
7714:DJF-23-127,20240731,2
7714:DJF-23-127,20240801,2
7714:DJF-23-127,20240802,2
7714:DJF-23-127,20240803,2
7714:DJF-23-127,20240805,2
7714:DJF-23-127,20240806,2
7714:DJF-23-127,20240807,2
7714:DJF-23-127,20240808,2
7714:DJF-23-127,20240809,2
7714:DJF-23-127,20240810,2
7714:DJF-23-127,20240812,2
7714:DJF-23-127,20240813,2
7714:DJF-23-127,20240814,2
7714:DJF-23-127,20240816,2
7714:DJF-23-127,20240817,2
7714:DJF-23-127,20240819,2
7714:DJF-23-127,20240820,2
7714:DJF-23-127,20240821,2
7714:DJF-23-127,20240822,2
7714:DJF-23-127,20240823,2
7714:DJF-23-127,20240824,2
7714:DJF-23-127,20240826,2
7714:DJF-23-127,20240827,2
7714:DJF-23-127,20240828,2
7714:DJF-23-127,20240829,2
7714:DJF-23-127,20240830,2
7714:DJF-23-127,20240831,2
7714:DJF-23-127,20240902,2
7714:DJF-23-127,20240903,2
7714:DJF-23-127,20240904,2
7714:DJF-23-127,20240905,2
7714:DJF-23-127,20240906,2
7714:DJF-23-127,20240907,2
7714:DJF-23-127,20240909,2
7714:DJF-23-127,20240910,2
7714:DJF-23-127,20240911,2
7714:DJF-23-127,20240912,2
7714:DJF-23-127,20240913,2
7714:DJF-23-127,20240914,2
7714:DJF-23-127,20240916,2
7714:DJF-23-127,20240917,2
7714:DJF-23-127,20240918,2
7714:DJF-23-127,20240919,2
7714:DJF-23-127,20240920,2
7714:DJF-23-127,20240921,2
7714:DJF-23-127,20240923,2
7714:DJF-23-127,20240924,2
7714:DJF-23-127,20240925,2
7714:DJF-23-127,20240926,2
7714:DJF-23-127,20240927,2
7714:DJF-23-127,20240928,2
7714:DJF-23-127,20240930,2
7714:DJF-23-127,20241001,2
7714:DJF-23-127,20241002,2
7714:DJF-23-127,20241003,2
7714:DJF-23-127,20241004,2
7714:DJF-23-127,20241005,2
7714:DJF-23-127,20241007,2
7714:DJF-23-127,20241008,2
7714:DJF-23-127,20241009,2
7714:DJF-23-127,20241010,2
7714:DJF-23-127,20241011,2
7714:DJF-23-127,20241012,2
7714:DJF-23-127,20241014,2
7714:DJF-23-127,20241015,2
7714:DJF-23-127,20241016,2
7714:DJF-23-127,20241017,2
7714:DJF-23-127,20241018,2
7714:DJF-23-127,20241019,2
7714:DJF-23-127,20241021,2
7714:DJF-23-127,20241022,2
7714:DJF-23-127,20241023,2
7714:DJF-23-127,20241024,2
7714:DJF-23-127,20241025,2
7714:DJF-23-127,20241026,2
7714:DJF-23-127,20241028,2
7714:DJF-23-127,20241029,2
7714:DJF-23-127,20241030,2
7714:DJF-23-127,20241031,2
7714:DJF-23-127,20241102,2
7714:DJF-23-127,20241104,2
7714:DJF-23-127,20241105,2
7714:DJF-23-127,20241106,2
7714:DJF-23-127,20241107,2
7714:DJF-23-127,20241108,2
7714:DJF-23-127,20241109,2
7714:DJF-23-127,20241112,2
7714:DJF-23-127,20241113,2
7714:DJF-23-127,20241114,2
7714:DJF-23-127,20241115,2
7714:DJF-23-127,20241116,2
7714:DJF-23-127,20241118,2
7714:DJF-23-127,20241119,2
7714:DJF-23-127,20241120,2
7714:DJF-23-127,20241121,2
7714:DJF-23-127,20241122,2
7714:DJF-23-127,20241123,2
7714:DJF-23-127,20241125,2
7714:DJF-23-127,20241126,2
7714:DJF-23-127,20241127,2
7714:DJF-23-127,20241128,2
7714:DJF-23-127,20241129,2
7714:DJF-23-127,20241130,2
7714:DJF-23-127,20241202,2
7714:DJF-23-127,20241203,2
7714:DJF-23-127,20241204,2
7714:DJF-23-127,20241205,2
7714:DJF-23-127,20241206,2
7714:DJF-23-127,20241207,2
7714:DJF-23-127,20241209,2
7714:DJF-23-127,20241210,2
7714:DJF-23-127,20241211,2
7714:DJF-23-127,20241212,2
7714:DJF-23-127,20241213,2
7714:DJF-23-127,20241214,2
7714:DJF-23-127,20241216,2
7714:DJF-23-127,20241217,2
7714:DJF-23-127,20241218,2
7714:DJF-23-127,20241219,2
7714:DJF-23-127,20241220,2
7714:DJF-23-127,20241221,2
7714:DJF-23-127,20241223,2
7714:DJF-23-127,20241224,2
7714:DJF-23-127,20241227,2
7714:DJF-23-127,20241228,2
7714:DJF-23-127,20241230,2
7714:DJF-23-127,20241231,2
7714:DJF-23-127,20250102,2
7714:DJF-23-127,20250103,2
7714:DJF-23-127,20250104,2
7714:DJF-23-127,20250106,2
7714:DJF-23-127,20250107,2
7714:DJF-23-127,20250108,2
7714:DJF-23-127,20250109,2
7714:DJF-23-127,20250110,2
7714:DJF-23-127,20250111,2
7714:DJF-23-127,20250113,2
7714:DJF-23-127,20250114,2
7714:DJF-23-127,20250115,2
7714:DJF-23-127,20250116,2
7714:DJF-23-127,20250117,2
7714:DJF-23-127,20250118,2
7714:DJF-23-127,20250120,2
7714:DJF-23-127,20250121,2
7714:DJF-23-127,20250122,2
7714:DJF-23-127,20250123,2
7714:DJF-23-127,20250124,2
7714:DJF-23-127,20250125,2
7714:DJF-23-127,20250127,2
7714:DJF-23-127,20250128,2
7714:DJF-23-127,20250129,2
7714:DJF-23-127,20250130,2
7714:DJF-23-127,20250131,2
7714:DJF-23-127,20250201,2
7714:DJF-23-127,20250203,2
7714:DJF-23-127,20250204,2
7714:DJF-23-127,20250205,2
7714:DJF-23-127,20250206,2
7714:DJF-23-127,20250207,2
7714:DJF-23-127,20250208,2
7714:DJF-23-127,20250210,2
7714:DJF-23-127,20250211,2
7714:DJF-23-127,20250212,2
7714:DJF-23-127,20250213,2
7714:DJF-23-127,20250214,2
7714:DJF-23-127,20250215,2
7714:DJF-23-127,20250217,2
7714:DJF-23-127,20250218,2
7714:DJF-23-127,20250219,2
7714:DJF-23-127,20250220,2
7714:DJF-23-127,20250221,2
7714:DJF-23-127,20250222,2
7714:DJF-23-127,20250224,2
7714:DJF-23-127,20250225,2
7714:DJF-23-127,20250226,2
7714:DJF-23-127,20250227,2
7714:DJF-23-127,20250228,2
7714:DJF-23-127,20250301,2
7714:DJF-23-127,20250303,2
7714:DJF-23-127,20250304,2
7714:DJF-23-127,20250305,2
7714:DJF-23-127,20250306,2
7714:DJF-23-127,20250307,2
7714:DJF-23-127,20250308,2
7714:DJF-23-127,20250310,2
7714:DJF-23-127,20250311,2
7714:DJF-23-127,20250312,2
7714:DJF-23-127,20250313,2
7714:DJF-23-127,20250314,2
7714:DJF-23-127,20250315,2
7714:DJF-23-127,20250317,2
7714:DJF-23-127,20250318,2
7714:DJF-23-127,20250319,2
7714:DJF-23-127,20250320,2
7714:DJF-23-127,20250321,2
7714:DJF-23-127,20250322,2
7714:DJF-23-127,20250324,2
7714:DJF-23-127,20250325,2
7714:DJF-23-127,20250326,2
7714:DJF-23-127,20250327,2
7714:DJF-23-127,20250328,2
7714:DJF-23-127,20250329,2
7714:DJF-23-127,20250331,2
7714:DJF-23-127,20250401,2
7714:DJF-23-127,20250402,2
7714:DJF-23-127,20250403,2
7714:DJF-23-127,20250404,2
7714:DJF-23-127,20250405,2
7714:DJF-23-127,20250407,2
7714:DJF-23-127,20250408,2
7714:DJF-23-127,20250409,2
7714:DJF-23-127,20250410,2
7714:DJF-23-127,20250411,2
7714:DJF-23-127,20250412,2
7714:DJF-23-127,20250414,2
7714:DJF-23-127,20250415,2
7714:DJF-23-127,20250416,2
7714:DJF-23-127,20250417,2
7714:DJF-23-127,20250419,2
7714:DJF-23-127,20250422,2
7714:DJF-23-127,20250423,2
7714:DJF-23-127,20250424,2
7714:DJF-23-127,20250425,2
7714:DJF-23-127,20250426,2
7714:DJF-23-127,20250428,2
7714:DJF-23-127,20250429,2
7714:DJF-23-127,20250430,2
7714:DJF-23-127,20250501,2
7714:DJF-23-127,20250502,2
7714:DJF-23-127,20250503,2
7714:DJF-23-127,20250505,2
7714:DJF-23-127,20250506,2
7714:DJF-23-127,20250507,2
7714:DJF-23-127,20250509,2
7714:DJF-23-127,20250510,2
7714:DJF-23-127,20250512,2
7714:DJF-23-127,20250513,2
7714:DJF-23-127,20250514,2
7714:DJF-23-127,20250515,2
7714:DJF-23-127,20250516,2
7714:DJF-23-127,20250517,2
7714:DJF-23-127,20250519,2
7714:DJF-23-127,20250520,2
7714:DJF-23-127,20250521,2
7714:DJF-23-127,20250522,2
7714:DJF-23-127,20250523,2
7714:DJF-23-127,20250524,2
7714:DJF-23-127,20250526,2
7714:DJF-23-127,20250527,2
7714:DJF-23-127,20250528,2
7714:DJF-23-127,20250530,2
7714:DJF-23-127,20250531,2
7714:DJF-23-127,20250602,2
7714:DJF-23-127,20250603,2
7714:DJF-23-127,20250604,2
7714:DJF-23-127,20250605,2
7714:DJF-23-127,20250606,2
7714:DJF-23-127,20250607,2
7714:DJF-23-127,20250610,2
7714:DJF-23-127,20250611,2
7714:DJF-23-127,20250612,2
7714:DJF-23-127,20250613,2
7714:DJF-23-127,20250614,2
7714:DJF-23-127,20250616,2
7714:DJF-23-127,20250617,2
7714:DJF-23-127,20250618,2
7714:DJF-23-127,20250619,2
7714:DJF-23-127,20250620,2
7714:DJF-23-127,20250621,2
7714:DJF-23-127,20250623,2
7714:DJF-23-127,20250624,2
7714:DJF-23-127,20250625,2
7714:DJF-23-127,20250626,2
7714:DJF-23-127,20250627,2
7714:DJF-23-127,20250628,2
7714:DJF-23-127,20250630,2
7714:DJF-23-127,20250701,2
7714:DJF-23-127,20250702,2
7714:DJF-23-127,20250703,2
7714:DJF-23-127,20250704,2
7714:DJF-23-127,20250705,2
7714:DJF-23-127,20250707,2
7714:DJF-23-127,20250708,2
7714:DJF-23-127,20250709,2
7714:DJF-23-127,20250710,2
7714:DJF-23-127,20250711,2
7714:DJF-23-127,20250712,2
7714:DJF-23-127,20250715,2
7714:DJF-23-127,20250716,2
7714:DJF-23-127,20250717,2
7714:DJF-23-127,20250718,2
7714:DJF-23-127,20250719,2
7714:DJF-23-127,20250721,2
7714:DJF-23-127,20250722,2
7714:DJF-23-127,20250723,2
7714:DJF-23-127,20250724,2
7714:DJF-23-127,20250725,2
7714:DJF-23-127,20250726,2
7714:DJF-23-127,20250728,2
7714:DJF-23-127,20250729,2
7714:DJF-23-127,20250730,2
7714:DJF-23-127,20250731,2
7714:DJF-23-127,20250801,2
7714:DJF-23-127,20250802,2
7714:DJF-23-127,20250804,2
7714:DJF-23-127,20250805,2
7714:DJF-23-127,20250806,2
7714:DJF-23-127,20250807,2
7714:DJF-23-127,20250808,2
7714:DJF-23-127,20250809,2
7714:DJF-23-127,20250811,2
7714:DJF-23-127,20250812,2
7714:DJF-23-127,20250813,2
7714:DJF-23-127,20250814,2
7714:DJF-23-127,20250816,2
7714:DJF-23-127,20250818,2
7714:DJF-23-127,20250819,2
7714:DJF-23-127,20250820,2
7714:DJF-23-127,20250821,2
7714:DJF-23-127,20250822,2
7714:DJF-23-127,20250823,2
7714:DJF-23-127,20250825,2
7714:DJF-23-127,20250826,2
7714:DJF-23-127,20250827,2
7714:DJF-23-127,20250828,2
7714:DJF-23-127,20250829,2
7714:DJF-23-127,20250830,2
7714:DJF-AP-23-127,20241118,2
7714:DJF-AP-23-127,20241119,2
7714:DJF-AP-23-127,20241120,2
7714:DJF-AP-23-127,20241121,2
7714:DJF-AP-23-127,20241122,2
7714:DJF-AP-23-127,20241123,2
7714:DJF-AP-23-127,20241125,2
7714:DJF-AP-23-127,20241126,2
7714:DJF-AP-23-127,20241127,2
7714:DJF-AP-23-127,20241128,2
7714:DJF-AP-23-127,20241129,2
7714:DJF-AP-23-127,20241130,2
7714:DJF-AP-23-127,20241202,2
7714:DJF-AP-23-127,20241203,2
7714:DJF-AP-23-127,20241204,2
7714:DJF-AP-23-127,20241205,2
7714:DJF-AP-23-127,20241206,2
7714:DJF-AP-23-127,20241207,2
7714:DJF-AP-23-127,20241209,2
7714:DJF-AP-23-127,20241210,2
7714:DJF-AP-23-127,20241211,2
7714:DJF-AP-23-127,20241212,2
7714:DJF-AP-23-127,20241213,2
7714:DJF-AP-23-127,20241214,2
7714:DJF-AP-23-127,20241216,2
7714:DJF-AP-23-127,20241217,2
7714:DJF-AP-23-127,20241218,2
7714:DJF-AP-23-127,20241219,2
7714:DJF-AP-23-127,20241220,2
7714:DJF-AP-23-127,20241221,2
7714:DJF-AP-23-127,20241223,2
7714:DJF-AP-23-127,20241224,2
7714:DJF-AP-23-127,20241227,2
7714:DJF-AP-23-127,20241228,2
7714:DJF-AP-23-127,20241230,2
7714:DJF-AP-23-127,20241231,2
7714:DJF-AP-23-127,20250102,2
7714:DJF-AP-23-127,20250103,2
7714:DJF-AP-23-127,20250104,2
7714:DJF-AP-23-127,20250106,2
7714:DJF-AP-23-127,20250107,2
7714:DJF-AP-23-127,20250108,2
7714:DJF-AP-23-127,20250109,2
7714:DJF-AP-23-127,20250110,2
7714:DJF-AP-23-127,20250111,2
7714:DJF-AP-23-127,20250113,2
7714:DJF-AP-23-127,20250114,2
7714:DJF-AP-23-127,20250115,2
7714:DJF-AP-23-127,20250116,2
7714:DJF-AP-23-127,20250117,2
7714:DJF-AP-23-127,20250118,2
7714:DJF-AP-23-127,20250120,2
7714:DJF-AP-23-127,20250121,2
7714:DJF-AP-23-127,20250122,2
7714:DJF-AP-23-127,20250123,2
7714:DJF-AP-23-127,20250124,2
7714:DJF-AP-23-127,20250125,2
7714:DJF-AP-23-127,20250127,2
7714:DJF-AP-23-127,20250128,2
7714:DJF-AP-23-127,20250129,2
7714:DJF-AP-23-127,20250130,2
7714:DJF-AP-23-127,20250131,2
7714:DJF-AP-23-127,20250201,2
7714:DJF-AP-23-127,20250203,2
7714:DJF-AP-23-127,20250204,2
