stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
8491,8491,"Gare",,48.7330879,7.7004125,,,1,,,
5674A,5674A,"Gare",,48.7330999,7.7004001,,,0,8491,,
5674R,5674R,"Gare",,48.7330999,7.7004001,,,0,8491,,
8495,8495,"Ancienne gare",,48.2759909,7.402112,,,1,,,
2253A,2253A,"Ancienne gare",,48.2757999,7.4025,,,0,8495,,
2253R,2253R,"Ancienne gare",,48.2760999,7.4018,,,0,8495,,
8512,8512,"Erstein",,48.4230409,7.6390006,,,1,,,
788A,788A,"Gare",,48.4230999,7.6388001,,,0,8512,,
788R,788R,"Gare",,48.4230999,7.6388001,,,0,8512,,
8529,8529,"Gare",,48.8138621,7.782994,,,1,,,
5254A,5254A,"Gare routière",,48.8141999,7.7832,,,0,8529,,
5254R,5254R,"Gare routière",,48.8141999,7.7832,,,0,8529,,
8540,8540,"Gare de Hoenheim",,48.6282155,7.7586961,,,1,,,
5681A,5681A,"Gare",,48.6283999,7.7588,,,0,8540,,
5681R,5681R,"Gare",,48.6283999,7.7588,,,0,8540,,
8542,8542,"Hoerdt Maison de Retraite",,48.6920055,7.7821311,,,1,,,
5029A,5029A,"Maison de retraite",,48.6919998,7.7820001,,,0,8542,,
5029R,5029R,"Maison de retraite",,48.6919999,7.7822,,,0,8542,,
8553,8553,"Cigoland",,48.256167,7.4195073,,,1,,,
2154A,2154A,"Cigoland",,48.2559999,7.4193,,,0,8553,,
2154R,2154R,"Cigoland",,48.2559999,7.4193,,,0,8553,,
8572,8572,"Molsheim",,48.5370754,7.5007421,,,1,,,
5116A,5116A,"Gare",,48.5369999,7.5005001,,,0,8572,,
5116R,5116R,"Gare",,48.5369999,7.5009,,,0,8572,,
8574,8574,"Rue haute",,48.75466888855,7.37690521975,,,1,,,
RHTE1,RHTE1,"Rue haute",,48.7547046,7.3768001,,,0,8574,,
RHTE2,RHTE2,"Rue haute",,48.7546345,7.37701,,,0,8574,,
8615,8615,"Gare SNCF",,48.9364039,7.0855147,,,1,,,
2077A,2077A,"Gare SNCF",,48.9365982,7.0855,,,0,8615,,
2077R,2077R,"Gare SNCF",,48.9365982,7.0855,,,0,8615,,
8622,8622,"Gare de Saverne Haut Barr",,48.7314050915,7.35231117115,,,1,,,
LCHB,LCHB,"Lycée du Haut-Barr",,48.7313313,7.35228,,,0,8622,,
8623,8623,"Collège Les Sources",,48.73504999705,7.36605036515,,,1,,,
5713A,5713A,"Collège Les Sources",,48.7350999,7.3661,,,0,8623,,
5713R,5713R,"Collège Les Sources",,48.7349999,7.3660001,,,0,8623,,
8625,8625,"Place des dragons",,48.7397006,7.3615717,,,1,,,
5714A,5714A,"Place des dragons",,48.7397999,7.3614,,,0,8625,,
5714R,5714R,"Place des dragons",,48.7396999,7.3614,,,0,8625,,
8637,8637,"Sélestat",,48.2599343,7.4435942,,,1,,,
2089A,2089A,"Gare",,48.2600999,7.4435,,,0,8637,,
2089R,2089R,"Gare",,48.2600999,7.4435,,,0,8637,,
8640,8640,"Lycée Koeberlé",,48.2633599,7.4553884,,,1,,,
2087A,2087A,"Lycées",,48.2633999,7.4554001,,,0,8640,,
2087R,2087R,"Lycées",,48.2633999,7.4554001,,,0,8640,,
8645,8645,"Rue d'Ernolsheim",,48.77325977085,7.40987525915,,,1,,,
RERN1,RERN1,"Rue d'Ernolsheim",,48.7733147,7.4099703,,,0,8645,,
RERN2,RERN2,"Rue d'Ernolsheim",,48.7732047,7.4097803,,,0,8645,,
8647,8647,"Mairie",,48.76934517335,7.4133004606,,,1,,,
STNB1,STNB1,"Mairie",,48.7693747,7.4132404,,,0,8647,,
STNB2,STNB2,"Mairie",,48.7693147,7.4133603,,,0,8647,,
8648,8648,"Route de Saverne",,48.76125904175,7.41409533085,,,1,,,
RTSV1,RTSV1,"Route de Saverne",,48.7614246,7.4144404,,,0,8648,,
RTSV2,RTSV2,"Route de Saverne",,48.7610946,7.4137504,,,0,8648,,
8653,8653,"Rue Saint-Arbogast",,48.9069728397,7.84716533963333,,,1,,,
2205A,2205A,"Rue Saint-Arbogast",,48.9069982,7.8473,,,0,8653,,
2205R,2205R,"Rue Saint-Arbogast",,48.9069982,7.8471,,,0,8653,,
12070,12070,"Collège",,48.3183003323,7.7140998007,,,1,,,
821A,821A,"Collège",,48.3182999,7.7141001,,,0,12070,,
821R,821R,"Collège",,48.3182999,7.7141001,,,0,12070,,
12074,12074,"Collège Europe",,48.45907868265,7.500098692325,,,1,,,
740A,740A,"Collège Europe",,48.4587999,7.5001,,,0,12074,,
740R,740R,"Collège Europe",,48.4592999,7.5001,,,0,12074,,
12075,12075,"Eglise",,48.4697992,7.7230013,,,1,,,
818A,818A,"Eglise",,48.4692999,7.7234001,,,0,12075,,
818R,818R,"Eglise",,48.4690999,7.7231,,,0,12075,,
12079,12079,"Gare routière",,48.7677999,7.2559001,,,1,,,
2062A,2062A,"Gare routière",,48.7677999,7.2559001,,,0,12079,,
2062R,2062R,"Gare routière",,48.7677999,7.2559001,,,0,12079,,
12081,12081,"Soleil",,48.5824899,7.6292292,,,1,,,
550A,550A,"Soleil",,48.5823999,7.6294,,,0,12081,,
550R,550R,"Soleil",,48.5824999,7.6289,,,0,12081,,
12099,12099,"Route des Vins",,48.5605002534,7.4978502028,,,1,,,
5109A,5109A,"Route des vins",,48.5604999,7.4977001,,,0,12099,,
5109R,5109R,"Route des vins",,48.5604999,7.4980001,,,0,12099,,
