from_stop_id,to_stop_id,transfer_type,min_transfer_time
5733R,5733A,0,
818R,818A,0,
5734A,818A,0,
5734A,818R,0,
5734R,818A,0,
5734R,5734A,0,
819R,819A,0,
796R,796A,0,
797R,797A,0,
806R,806A,0,
807R,807A,0,
157R,157A,0,
5019R,5019A,0,
181R,181A,0,
182R,182A,0,
176R,176A,0,
179R,179A,0,
180R,180A,0,
178R,178A,0,
253R,253A,0,
252R,252A,0,
254R,254A,0,
255R,255A,0,
5693R,5693A,0,
121R,121A,0,
123R,123A,0,
47R,47A,0,
112R,112A,0,
110R,110A,0,
109R,109A,0,
115R,115A,0,
105R,105A,0,
106R,106A,0,
5737R,5737A,0,
108R,108A,0,
131R,112A,0,
131R,112R,0,
131R,113A,0,
125R,47A,0,
125R,47R,0,
331R,331A,0,
326R,326A,0,
327A,326A,0,
327A,326R,0,
327R,326A,0,
327R,326R,0,
327R,327A,0,
351R,351A,0,
349R,349A,0,
350R,350A,0,
353R,353A,0,
65R,65A,0,
19R,19A,0,
26R,26A,0,
16R,16A,0,
122A,121R,0,
122R,121R,0,
36R,36A,0,
190A,108A,0,
190A,108R,0,
190R,108A,0,
190R,108R,0,
190R,190A,0,
37R,37A,0,
38R,38A,0,
39R,39A,0,
40R,40A,0,
41R,41A,0,
42R,42A,0,
43R,43A,0,
44R,44A,0,
45R,45A,0,
175R,175A,0,
8A,65A,0,
8A,65R,0,
8R,65A,0,
8R,65R,0,
8R,8A,0,
46R,46A,0,
54R,54A,0,
55R,55A,0,
851R,851A,0,
850A,851A,0,
850A,851R,0,
850R,851A,0,
850R,851R,0,
850R,850A,0,
342R,342A,0,
2A,336A,0,
2A,336R,0,
2R,336A,0,
2R,336R,0,
400R,400A,0,
15R,15A,0,
60R,60A,0,
22R,22A,0,
28R,28A,0,
56R,56A,0,
34R,34A,0,
404R,404A,0,
18R,18A,0,
1R,1A,0,
482A,1A,0,
482A,1R,0,
482R,1A,0,
482R,1R,0,
482R,482A,0,
481A,482A,0,
481A,482R,0,
481R,482A,0,
481R,482R,0,
481R,481A,0,
5746A,5686A,0,
5746A,5686R,0,
5746R,5686A,0,
5746R,5686R,0,
160A,400A,0,
160A,400R,0,
160R,400A,0,
160R,400R,0,
5102R,5102A,0,
552R,552A,0,
11R,11A,0,
24R,24A,0,
402R,402A,0,
403A,402A,0,
403A,402R,0,
403R,402A,0,
403R,402R,0,
403R,403A,0,
5684R,5684A,0,
21R,21A,0,
5687R,5687A,0,
562R,562A,0,
5107R,5107A,0,
5109R,5109A,0,
5688R,5688A,0,
5116R,5116A,0,
5115R,5115A,0,
5114R,5114A,0,
973A,28A,0,
973A,28R,0,
973R,28A,0,
973R,28R,0,
570R,570A,0,
571R,571A,0,
572R,572A,0,
559R,559A,0,
558R,558A,0,
573A,157A,0,
573A,157R,0,
573R,157A,0,
573R,157R,0,
741R,741A,0,
745R,745A,0,
740R,740A,0,
736R,736A,0,
730R,730A,0,
732R,732A,0,
733A,732A,0,
733A,732R,0,
733R,732A,0,
733R,732R,0,
724R,724A,0,
746R,746A,0,
748A,746A,0,
748A,746R,0,
748R,746A,0,
748R,746R,0,
788R,788A,0,
5661R,5661A,0,
784R,784A,0,
782R,782A,0,
5662A,782R,0,
5662R,782R,0,
5662R,5662A,0,
781R,781A,0,
812R,812A,0,
813R,813A,0,
814R,814A,0,
820R,820A,0,
787R,787A,0,
792A,787A,0,
792A,787R,0,
792R,787A,0,
792R,787R,0,
792R,792A,0,
785R,785A,0,
791A,5661A,0,
791A,5661R,0,
791A,785A,0,
791A,785R,0,
791R,5661A,0,
791R,5661R,0,
791R,785A,0,
791R,785R,0,
791R,791A,0,
794R,794A,0,
795R,795A,0,
793R,793A,0,
5715R,5715A,0,
811R,811A,0,
809R,809A,0,
256R,256A,0,
810A,811A,0,
810R,811A,0,
810R,811R,0,
5254R,5254A,0,
5257R,5257A,0,
227R,227A,0,
2043R,2043A,0,
233R,233A,0,
2091R,2091A,0,
211R,211A,0,
2107R,2107A,0,
5711R,5711A,0,
5614R,5614A,0,
5714R,5714A,0,
5713R,5713A,0,
5712R,5712A,0,
2089R,2089A,0,
2230R,2230A,0,
2226R,2226A,0,
2227R,2227A,0,
2229R,2229A,0,
2253R,2253A,0,
2215R,2215A,0,
223R,223A,0,
2225R,2226A,0,
2225R,2226R,0,
2087R,2087A,0,
2088R,2088A,0,
119R,119A,0,
5311R,5311A,0,
5312R,5312A,0,
5334A,5018R,0,
5334R,5018R,0,
5334R,5334A,0,
111R,111A,0,
104R,104A,0,
328A,30A,0,
328A,30R,0,
328R,30A,0,
328R,30R,0,
345A,346A,0,
345A,346R,0,
345R,346A,0,
345R,346R,0,
484A,481A,0,
484A,481R,0,
484R,481A,0,
484R,481R,0,
1005A,783A,0,
1005A,783R,0,
1005R,783A,0,
1005R,783R,0,
1005R,1005A,0,
5756R,5756A,0,
5758A,784A,0,
5758A,784R,0,
5758R,784A,0,
5758R,784R,0,
5759A,782A,0,
5759A,782R,0,
5759R,782A,0,
5759R,782R,0,
5759R,5662A,0,
5759R,5662R,0,
5760A,782R,0,
5760A,5662A,0,
5760A,5662R,0,
5760R,782R,0,
5760R,5662A,0,
5760R,5662R,0,
629A,632A,0,
629A,632R,0,
629R,632A,0,
629R,629A,0,
5761A,176A,0,
5761A,176R,0,
5761R,176A,0,
5761R,176R,0,
5762A,5712A,0,
5762A,5712R,0,
5762A,5612A,0,
5762A,5612R,0,
